group,names,scores,logfoldchanges,pvals,pvals_adj
20,CD34 REAL1217,-17.096867,4.248789,1.566011888199513e-65,3.915029720498782e-65
20,CD38 REAL719,-14.125446,3.5165753,2.6471629854185004e-45,4.7270767596758933e-45
20,HLA DR REAL550,10.0764675,2.9112763,7.020457530499596e-24,1.0324202250734699e-23
21,CD11b REA1321,-16.049633,5.516401,5.7503170654777316e-58,2.8751585327388657e-57
21,HLA DR REAL550,14.950244,4.3492594,1.5517981840612286e-50,6.465825766921786e-50
21,CD34 REAL1217,-13.561082,4.2391257,6.81235396722187e-42,2.1288606147568342e-41
21,FoxP3 REA1253,13.289819,3.1669044,2.6522118252054615e-40,7.367255070015172e-40
21,CD3 REAL1097,-6.9835014,3.136126,2.8791254056304793e-12,4.7985423427174655e-12
22,CD11b REA1321,-3.5162375,3.854285,0.00043770930881014303,0.00047577098783711195
22,Arginase 1 REAL1137,-3.859397,3.713623,0.00011366722015397766,0.00012916729562952007
22,CD3 REAL1097,-15.514718,3.525077,2.758432697009496e-54,6.269165220476128e-54
22,CD4 REA1307,-0.8795921,0.81476617,0.37908031655156804,0.37908031655156804
22,PAX 5 REA140,4.691914,0.59690464,2.706608088084843e-06,3.2221524858152893e-06
23,CD79a REA1168,27.352175,5.431215,1.0174719684434815e-164,1.2718399605543519e-163
23,Arginase 1 REAL1137,-5.507971,3.9674342,3.629931638797681e-08,4.776225840523265e-08
23,CD11b REA1321,-1.3469174,3.0014946,0.17800682575459004,0.18542377682769795
23,CD38 REAL719,4.3059883,2.0971074,1.6624196897340966e-05,1.979071059207258e-05
23,PAX 5 REA140,5.4009657,0.28981242,6.628312140506451e-08,8.285390175633063e-08
24,Arginase 1 REAL1137,-3.9180946,3.810954,8.925163651011931e-05,0.00010142231421604467
24,CD11b REA1321,0.514396,3.4650064,0.6069751462806823,0.6322657773757108
24,CD3 REAL1097,-11.028808,3.4189878,2.7752124989088474e-28,4.95573660519437e-28
24,PAX 5 REA140,5.592491,-0.3150136,2.2383456524649725e-08,2.7979320655812154e-08
24,CD20 REAL1069,-4.118579,-0.4584417,3.812163617970378e-05,4.5382900213933074e-05
25,CD235a REA175,17.630512,9.286138,1.4365954880692e-69,5.130698171675714e-69
25,CD68 REAL1346,28.46951,7.8066516,2.7949040231130194e-178,6.987260057782548e-177
25,CD163 REA1309,5.0529017,6.875547,4.3514823291107596e-07,5.180336106084238e-07
25,CD11b REA1321,-10.591373,4.836118,3.2676246919839867e-26,5.105663581224979e-26
25,Arginase 1 REAL1137,-11.507404,4.335645,1.2106715831388837e-30,2.0177859718981396e-30
26,Mast Cell Tryptase REAL798,28.449976,9.188036,4.87629832706643e-178,1.2190745817666075e-176
26,CD11b REA1321,-3.3127964,4.2121506,0.0009236821078513806,0.0017763117458680395
26,Arginase 1 REAL1137,-2.1230307,3.7009149,0.03375128559038222,0.04218910698797777
26,CD38 REAL719,-5.4486504,3.3505435,5.075345898092483e-08,2.1147274575385348e-07
26,CD79a REA1168,8.370688,2.724813,5.728274191238585e-17,4.773561826032154e-16
27,CD11b REA1321,-6.1551933,4.737675,7.498592806821476e-10,1.339034429789549e-09
27,CD79a REA1168,17.341139,4.0964828,2.3012835827022947e-67,2.876604478377868e-66
27,FoxP3 REA1253,10.179685,4.0904846,2.443517882736634e-24,6.787549674268428e-24
27,CD34 REAL1217,-5.7860417,3.8081434,7.206428655856131e-09,1.0188316494721737e-08
27,Arginase 1 REAL1137,-5.903711,3.5423772,3.554143899336427e-09,5.553349842713167e-09
28,CD11b REA1321,0.046991713,3.9577954,0.9625198307446576,0.9898137367023088
28,Arginase 1 REAL1137,-0.3320232,3.7079544,0.7398717391389109,0.9898137367023088
28,CD3 REAL1097,0.26976368,2.7434783,0.7873420738106812,0.9898137367023088
28,CD38 REAL719,0.635528,2.6144598,0.5250840740793891,0.9898137367023088
28,Mast Cell Tryptase REAL798,2.820691,1.9354824,0.004792031273217788,0.03993359394348157
29,CD163 REA1309,5.743131,17.89107,9.294171163963755e-09,2.3235427909909385e-07
29,CD235a REA175,2.3521383,5.334319,0.018665833973599964,0.08829253065053762
29,CD11b REA1321,-1.5625455,4.6494308,0.11815951720334847,0.26854435728033743
29,Arginase 1 REAL1137,0.09679032,3.5467467,0.9228929088682708,0.9228929088682708
29,CD34 REAL1217,0.27105355,3.231242,0.7863498429248256,0.9043943509556333
